Dataset,CityCount,Heuristic,TourLength
data/att532.dat,1,Farthest Insertion,94630
data/att532.dat,1,Nearest Insertion,107726
data/att532.dat,1,Random Insertion,96744
data/att532.dat,11,Farthest Insertion,94653
data/att532.dat,11,Nearest Insertion,107268
data/att532.dat,11,Random Insertion,96519
data/att532.dat,21,Farthest Insertion,96213
data/att532.dat,21,Nearest Insertion,107786
data/att532.dat,21,Random Insertion,96574
data/att532.dat,31,Farthest Insertion,94151
data/att532.dat,31,Nearest Insertion,107470
data/att532.dat,31,Random Insertion,96080
data/att532.dat,41,Farthest Insertion,94548
data/att532.dat,41,Nearest Insertion,107691
data/att532.dat,41,Random Insertion,96432
data/att532.dat,51,Farthest Insertion,94477
data/att532.dat,51,Nearest Insertion,107700
data/att532.dat,51,Random Insertion,97053
data/att532.dat,61,Farthest Insertion,95753
data/att532.dat,61,Nearest Insertion,107216
data/att532.dat,61,Random Insertion,95191
data/att532.dat,71,Farthest Insertion,96188
data/att532.dat,71,Nearest Insertion,107423
data/att532.dat,71,Random Insertion,96095
data/att532.dat,81,Farthest Insertion,94590
data/att532.dat,81,Nearest Insertion,107083
data/att532.dat,81,Random Insertion,96762
data/att532.dat,91,Farthest Insertion,95577
data/att532.dat,91,Nearest Insertion,107758
data/att532.dat,91,Random Insertion,96537
data/att532.dat,101,Farthest Insertion,95286
data/att532.dat,101,Nearest Insertion,107558
data/att532.dat,101,Random Insertion,96623
data/att532.dat,111,Farthest Insertion,95970
data/att532.dat,111,Nearest Insertion,107527
data/att532.dat,111,Random Insertion,96753
data/att532.dat,121,Farthest Insertion,95053
data/att532.dat,121,Nearest Insertion,107542
data/att532.dat,121,Random Insertion,95955
data/att532.dat,131,Farthest Insertion,94060
data/att532.dat,131,Nearest Insertion,107448
data/att532.dat,131,Random Insertion,95723
data/att532.dat,141,Farthest Insertion,94776
data/att532.dat,141,Nearest Insertion,107609
data/att532.dat,141,Random Insertion,96147
data/att532.dat,151,Farthest Insertion,94475
data/att532.dat,151,Nearest Insertion,107740
data/att532.dat,151,Random Insertion,96453
data/att532.dat,161,Farthest Insertion,94571
data/att532.dat,161,Nearest Insertion,107055
data/att532.dat,161,Random Insertion,95916
data/att532.dat,171,Farthest Insertion,95519
data/att532.dat,171,Nearest Insertion,107395
data/att532.dat,171,Random Insertion,95314
data/att532.dat,181,Farthest Insertion,94538
data/att532.dat,181,Nearest Insertion,108040
data/att532.dat,181,Random Insertion,94649
data/att532.dat,191,Farthest Insertion,95678
data/att532.dat,191,Nearest Insertion,108343
data/att532.dat,191,Random Insertion,98151
data/att532.dat,201,Farthest Insertion,93349
data/att532.dat,201,Nearest Insertion,107515
data/att532.dat,201,Random Insertion,95396
data/att532.dat,211,Farthest Insertion,92853
data/att532.dat,211,Nearest Insertion,107605
data/att532.dat,211,Random Insertion,95361
data/att532.dat,221,Farthest Insertion,95590
data/att532.dat,221,Nearest Insertion,108385
data/att532.dat,221,Random Insertion,96962
data/att532.dat,231,Farthest Insertion,94816
data/att532.dat,231,Nearest Insertion,107744
data/att532.dat,231,Random Insertion,96105
data/att532.dat,241,Farthest Insertion,93111
data/att532.dat,241,Nearest Insertion,107603
data/att532.dat,241,Random Insertion,94982
data/att532.dat,251,Farthest Insertion,94175
data/att532.dat,251,Nearest Insertion,107715
data/att532.dat,251,Random Insertion,94857
data/att532.dat,261,Farthest Insertion,93974
data/att532.dat,261,Nearest Insertion,107268
data/att532.dat,261,Random Insertion,94707
data/att532.dat,271,Farthest Insertion,93240
data/att532.dat,271,Nearest Insertion,107756
data/att532.dat,271,Random Insertion,94948
data/att532.dat,281,Farthest Insertion,93090
data/att532.dat,281,Nearest Insertion,107510
data/att532.dat,281,Random Insertion,93788
data/att532.dat,291,Farthest Insertion,93609
data/att532.dat,291,Nearest Insertion,107728
data/att532.dat,291,Random Insertion,93837
data/att532.dat,301,Farthest Insertion,93713
data/att532.dat,301,Nearest Insertion,108388
data/att532.dat,301,Random Insertion,93810
data/att532.dat,311,Farthest Insertion,94949
data/att532.dat,311,Nearest Insertion,107130
data/att532.dat,311,Random Insertion,94098
data/att532.dat,321,Farthest Insertion,94035
data/att532.dat,321,Nearest Insertion,107272
data/att532.dat,321,Random Insertion,94323
data/att532.dat,331,Farthest Insertion,95245
data/att532.dat,331,Nearest Insertion,107636
data/att532.dat,331,Random Insertion,95557
data/att532.dat,341,Farthest Insertion,94798
data/att532.dat,341,Nearest Insertion,106736
data/att532.dat,341,Random Insertion,95346
data/att532.dat,351,Farthest Insertion,96038
data/att532.dat,351,Nearest Insertion,106588
data/att532.dat,351,Random Insertion,95375
data/att532.dat,361,Farthest Insertion,95005
data/att532.dat,361,Nearest Insertion,107388
data/att532.dat,361,Random Insertion,95939
data/att532.dat,371,Farthest Insertion,94642
data/att532.dat,371,Nearest Insertion,107875
data/att532.dat,371,Random Insertion,94308
data/att532.dat,381,Farthest Insertion,93038
data/att532.dat,381,Nearest Insertion,107417
data/att532.dat,381,Random Insertion,95800
data/att532.dat,391,Farthest Insertion,93528
data/att532.dat,391,Nearest Insertion,107437
data/att532.dat,391,Random Insertion,96266
data/att532.dat,401,Farthest Insertion,95554
data/att532.dat,401,Nearest Insertion,107827
data/att532.dat,401,Random Insertion,94783
data/att532.dat,411,Farthest Insertion,97091
data/att532.dat,411,Nearest Insertion,107501
data/att532.dat,411,Random Insertion,96002
data/att532.dat,421,Farthest Insertion,93715
data/att532.dat,421,Nearest Insertion,108573
data/att532.dat,421,Random Insertion,93340
data/att532.dat,431,Farthest Insertion,93271
data/att532.dat,431,Nearest Insertion,108910
data/att532.dat,431,Random Insertion,94863
data/att532.dat,441,Farthest Insertion,95099
data/att532.dat,441,Nearest Insertion,107798
data/att532.dat,441,Random Insertion,93820
data/att532.dat,451,Farthest Insertion,94594
data/att532.dat,451,Nearest Insertion,108458
data/att532.dat,451,Random Insertion,94300
data/att532.dat,461,Farthest Insertion,97632
data/att532.dat,461,Nearest Insertion,107723
data/att532.dat,461,Random Insertion,94180
data/att532.dat,471,Farthest Insertion,94918
data/att532.dat,471,Nearest Insertion,108337
data/att532.dat,471,Random Insertion,93918
data/att532.dat,481,Farthest Insertion,95582
data/att532.dat,481,Nearest Insertion,108052
data/att532.dat,481,Random Insertion,93976
data/att532.dat,491,Farthest Insertion,97891
data/att532.dat,491,Nearest Insertion,108138
data/att532.dat,491,Random Insertion,94753
data/att532.dat,501,Farthest Insertion,96114
data/att532.dat,501,Nearest Insertion,108252
data/att532.dat,501,Random Insertion,94493
data/att532.dat,511,Farthest Insertion,96202
data/att532.dat,511,Nearest Insertion,108087
data/att532.dat,511,Random Insertion,93852
data/att532.dat,521,Farthest Insertion,94524
data/att532.dat,521,Nearest Insertion,107521
data/att532.dat,521,Random Insertion,93752
data/att532.dat,531,Farthest Insertion,94372
data/att532.dat,531,Nearest Insertion,108149
data/att532.dat,531,Random Insertion,94942
